activo,subcategoria,categoría,tecnologia
Internet,Tecnologías de red,Tecnologías de red,CT (Tecnologías de comunicación)
Shell del host,Tecnologías de red,Tecnologías de red,CT (Tecnologías de comunicación)
Servicio web de internet,Tecnologías de aplicaciones en red,Tecnologías de capa de aplicación en red,CT (Tecnologías de comunicación)
Servicio web de intranet,Tecnologías de aplicaciones en red,Tecnologías de capa de aplicación en red,CT (Tecnologías de comunicación)
DNS (Protocolo de Resolución de Nombres de Dominio),Tecnologías de aplicaciones en red,Tecnologías de capa de aplicación en red,CT (Tecnologías de comunicación)
HTTP (Protocolo de Transferencia de Hipertexto),Tecnologías de aplicaciones en red,Tecnologías de capa de aplicación en red,CT (Tecnologías de comunicación)
Servidor web/HTTP,Servidor web/HTTP,Servidores,IT (Tecnologías de la Información)
Comunicación web/HTTP,Servidor web/HTTP,Servidores,IT (Tecnologías de la Información)
Comunicación web/HTTPS,Servidor web/HTTP,Servidores,IT (Tecnologías de la Información)
Servidor MySQL ,Servidor de base de datos,Servidores,IT (Tecnologías de la Información)
Modbus (Modular Digital Bus),Tecnologías de aplicaciones en red,Tecnologías de capa de aplicación en red,CT (Tecnologías de comunicación)
OPC-UA (OLE for Process Control - Unified Architecture),Tecnologías de aplicaciones en red,Tecnologías de capa de aplicación en red,CT (Tecnologías de comunicación)
CoAP (Constrained Application Protocol),Tecnologías de aplicaciones en red,Tecnologías de capa de aplicación en red,CT (Tecnologías de comunicación)
AMPQ (Advanced Message Queuing Protocol),Tecnologías de aplicaciones en red,Tecnologías de capa de aplicación en red,CT (Tecnologías de comunicación)
DNS (Domain Name System),Tecnologías de aplicaciones en red,Tecnologías de capa de aplicación en red,CT (Tecnologías de comunicación)
MQTT (Message Queuing Telemetry Transport),Tecnologías de aplicaciones en red,Tecnologías de capa de aplicación en red,CT (Tecnologías de comunicación)
SSH (Secure Shell),Tecnologías de aplicaciones en red,Tecnologías de capa de aplicación en red,CT (Tecnologías de comunicación)
VoIP (Voice over Internet Protocol),Tecnologías de aplicaciones en red,Tecnologías de capa de aplicación en red,CT (Tecnologías de comunicación)
RTSP (Real Time Streaming Protocol),Tecnologías de aplicaciones en red,Tecnologías de capa de aplicación en red,CT (Tecnologías de comunicación)
RFB (Remote Frame Buffer Protocol),Tecnologías de aplicaciones en red,Tecnologías de capa de aplicación en red,CT (Tecnologías de comunicación)
SSL (Capa de Sockets Seguros),Tecnologías de transporte de datos,Tecnologías de transporte de datos,CT (Tecnologías de comunicación)
TLS (Segurtidad de Capa de Transporte),Tecnologías de transporte de datos,Tecnologías de transporte de datos,CT (Tecnologías de comunicación)
TCP (Protocolo de Control de Transmisión),Tecnologías de transporte de datos,Tecnologías de transporte de datos,CT (Tecnologías de comunicación)
UPD (Protocolo de Datagramas de Usuario),Tecnologías de transporte de datos,Tecnologías de transporte de datos,CT (Tecnologías de comunicación)
ARP (Address Resolution Protocol),Tecnologías de red,Tecnologías de red,CT (Tecnologías de comunicación)
IPv4 (Internet protocol Versión 4),Tecnologías de red,Tecnologías de red,CT (Tecnologías de comunicación)
IPv5 (Internet protocol Versión 6),Tecnologías de red,Tecnologías de red,CT (Tecnologías de comunicación)
IPSec (Internet Protocol Security),Tecnologías de red,Tecnologías de red,CT (Tecnologías de comunicación)
USB (Universal Serial Bus),Comunicación serial,Tecnologías de acceso de red,CT (Tecnologías de comunicación)
