categoria,tecnologia,traduccion
Hardware de computación,IT (Tecnologías de la Información),Copmputer hardware
Software,IT (Tecnologías de la Información),Software
Software de aplicación,IT (Tecnologías de la Información),Application software
Software de plataforma,IT (Tecnologías de la Información),Platform software
Firmware,IT (Tecnologías de la Información),Firmware
Computación en la nube,IT (Tecnologías de la Información),Cloud computing
Distribuciones Linux,IT (Tecnologías de la Información),Linux distributions
Servidores,IT (Tecnologías de la Información),Servers
Internet de las Cosas (IoT),IT (Tecnologías de la Información),Internet of Things (IoT)
Big data,IT (Tecnologías de la Información),Big data
AI (Inteligencia Artificial),IT (Tecnologías de la Información),AI (Artificial Intelligence)
ICS (Sistemas de Control Industrial),OT (Tecnologías Operativas),ICS (Industrial Control Systems)
Instrumentación industrial,OT (Tecnologías Operativas),Industrial instrumentation 
Sistemas de Control de Procesos Discretos,OT (Tecnologías Operativas),Discrete Process Control Systems
Tecnologías de capa de aplicación en red,CT (Tecnologías de comunicación),Network application layer technologies
Tecnologías de transporte de datos,CT (Tecnologías de comunicación),Data transport technologies
Tecnologías de red,CT (Tecnologías de comunicación),Network technologies
Tecnologías de acceso de red,CT (Tecnologías de comunicación),Network access technologies
Tecnologías Inalámbricas de Red,CT (Tecnologías de comunicación),Wireless Network Technologies
Tecnologías de radiodeterminación,CT (Tecnologías de comunicación),Radiodetermination technologies
