subcategoria,categoria,tecnologia
VM for IaaS,Computación en la nube,IT (Tecnologías de la Información)
VPC for IaaS,Computación en la nube,IT (Tecnologías de la Información)
Big Data for PaaS,Computación en la nube,IT (Tecnologías de la Información)
AI for PaaS,Computación en la nube,IT (Tecnologías de la Información)
Firmware,Software de plataforma,IT (Tecnologías de la Información)
Controladores de dispositivo,Software de plataforma,IT (Tecnologías de la Información)
Sistema Operativo de Escritorioo o Servidor,Software de plataforma,IT (Tecnologías de la Información)
Sistema Operativo de Móvil,Software de plataforma,IT (Tecnologías de la Información)
Sistema Operativo Embebidos,Software de plataforma,IT (Tecnologías de la Información)
Sistema Operativo ,Software de plataforma,IT (Tecnologías de la Información)
Servidor de Archivos,Servidores,IT (Tecnologías de la Información)
Servidor web/HTTP,Servidores,IT (Tecnologías de la Información)
Servidor de base de datos,Servidores,IT (Tecnologías de la Información)
Servidor proxy,Servidores,IT (Tecnologías de la Información)
Servidor VPN,Servidores,IT (Tecnologías de la Información)
Servidor de aplicación web,Servidores,IT (Tecnologías de la Información)
IoT gateways (Puertas de enlace IoT),Internet de las Cosas (IoT),IT (Tecnologías de la Información)
Dispositivos Inteligentes (Smart Devices),Internet de las Cosas (IoT),IT (Tecnologías de la Información)
Bombillas Inteligentes,Internet de las Cosas (IoT),IT (Tecnologías de la Información)
Termostatos Inteligentes,Internet de las Cosas (IoT),IT (Tecnologías de la Información)
Cerraduras Inteligentes,Internet de las Cosas (IoT),IT (Tecnologías de la Información)
Cámaras de Seguridad Inteligentes,Internet de las Cosas (IoT),IT (Tecnologías de la Información)
Redes de Sensores Inalámbricos (WSN),Internet de las Cosas (IoT),IT (Tecnologías de la Información)
Automatización del Hogar (Domótica),Internet de las Cosas (IoT),IT (Tecnologías de la Información)
Ciudades Inteligentes (Smart Cities),Internet de las Cosas (IoT),IT (Tecnologías de la Información)
DCS (Sistemas de Control Distribuido),ICS (Sistemas de Control Industrial),OT (Tecnologías Operativas)
PLC (Controladores Lógicos Programables),ICS (Sistemas de Control Industrial),OT (Tecnologías Operativas)
CPE: CompactLogix de Rockwell Automation,ICS (Sistemas de Control Industrial),OT (Tecnologías Operativas)
PAC (Controladores de Automatización Programables),ICS (Sistemas de Control Industrial),OT (Tecnologías Operativas)
SCADA (Sistemas de Control Supervisorio y Adquisición de Datos),ICS (Sistemas de Control Industrial),OT (Tecnologías Operativas)
HMI (Human-Machine Interface),ICS (Sistemas de Control Industrial),OT (Tecnologías Operativas)
Sistemas de Control de Procesos Continuos,ICS (Sistemas de Control Industrial),OT (Tecnologías Operativas)
Tecnología de Automatización Industrial,Sistemas de Control de Procesos Discretos,OT (Tecnologías Operativas)
Sistemas Embebidos,Sistemas de Control de Procesos Discretos,OT (Tecnologías Operativas)
Tecnologías de aplicaciones en red,Tecnologías de capa de aplicación en red,CT (Tecnologías de comunicación)
Tecnologías de transporte de datos,Tecnologías de transporte de datos,CT (Tecnologías de comunicación)
Tecnologías de red,Tecnologías de red,CT (Tecnologías de comunicación)
Tecnologías de acceso de red,Tecnologías de acceso de red,CT (Tecnologías de comunicación)
WPAN (Wireless Personal Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
High-Rate WPAN (Wireless Personal Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
Low-Rate WPAN (Wireless Personal Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
WLAN (Wireless Local Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
WMAN (Wireless Metropolitan Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
WWAN (Wireless Wide Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
Celular WWAN (Wireless Wide Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
LPWAN (Low-Power Wide Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
Radio control,Tecnologías de acceso de red,CT (Tecnologías de comunicación)
RFID (Radio Frequency Identification) ,Tecnologías de acceso de red,CT (Tecnologías de comunicación)
Comunicación serial,Tecnologías de acceso de red,CT (Tecnologías de comunicación)
PAN (Personal Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
LAN (Local Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
MAN (Metropolitan Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
WAN (Wide Area Network),Tecnologías de acceso de red,CT (Tecnologías de comunicación)
RNSS (Servicio de RadioNavegación por Satélite),Tecnologías de radiodeterminación,CT (Tecnologías de comunicación)
